ID,ASK1_IC50_nM
TEST_000,49.89436
TEST_001,15.577858
TEST_002,15.259736
TEST_003,132.69228
TEST_004,26.020042
TEST_005,70.092674
TEST_006,37.969498
TEST_007,15.986362
TEST_008,39.907864
TEST_009,259.1609
TEST_010,139.22287
TEST_011,65.04413
TEST_012,62.3624
TEST_013,60.67603
TEST_014,51.10924
TEST_015,198.88373
TEST_016,184.77452
TEST_017,180.01517
TEST_018,250.37202
TEST_019,364.89035
TEST_020,62.105618
TEST_021,110.30117
TEST_022,267.24844
TEST_023,112.76209
TEST_024,453.43808
TEST_025,243.76561
TEST_026,164.8756
TEST_027,276.39624
TEST_028,137.89326
TEST_029,98.034256
TEST_030,188.82692
TEST_031,108.17437
TEST_032,96.78146
TEST_033,87.3514
TEST_034,46.74077
TEST_035,156.1032
TEST_036,155.5516
TEST_037,214.28192
TEST_038,344.43442
TEST_039,287.1365
TEST_040,116.41439
TEST_041,211.8888
TEST_042,153.25319
TEST_043,363.01382
TEST_044,42.496777
TEST_045,68.50074
TEST_046,11.496495
TEST_047,11.056829
TEST_048,69.151985
TEST_049,61.10316
TEST_050,167.56842
TEST_051,167.56842
TEST_052,54.952732
TEST_053,38.469147
TEST_054,149.22134
TEST_055,51.143764
TEST_056,46.385353
TEST_057,58.108326
TEST_058,259.81216
TEST_059,93.66208
TEST_060,61.81024
TEST_061,116.066986
TEST_062,50.142315
TEST_063,56.573936
TEST_064,46.13267
TEST_065,54.8908
TEST_066,48.349766
TEST_067,22.839266
TEST_068,99.26805
TEST_069,99.60289
TEST_070,39.670513
TEST_071,115.5944
TEST_072,109.87196
TEST_073,33.47765
TEST_074,21.846779
TEST_075,92.65734
TEST_076,39.428253
TEST_077,127.27413
TEST_078,107.49276
TEST_079,73.26825
TEST_080,161.25204
TEST_081,31.66127
TEST_082,113.9438
TEST_083,234.72157
TEST_084,53.223717
TEST_085,68.12781
TEST_086,105.84134
TEST_087,92.292534
TEST_088,125.95335
TEST_089,399.03702
TEST_090,194.0846
TEST_091,99.959274
TEST_092,145.07083
TEST_093,145.09137
TEST_094,53.01853
TEST_095,81.96304
TEST_096,126.361275
TEST_097,174.89421
TEST_098,29.59375
TEST_099,70.3644
TEST_100,170.0466
TEST_101,91.70757
TEST_102,59.58677
TEST_103,80.546974
TEST_104,79.25042
TEST_105,271.8095
TEST_106,174.26646
TEST_107,1295.7711
TEST_108,57.58346
TEST_109,235.82771
TEST_110,96.437996
TEST_111,95.5324
TEST_112,141.64827
TEST_113,160.88173
TEST_114,60.1896
TEST_115,281.31323
TEST_116,164.49263
TEST_117,292.01968
TEST_118,402.29678
TEST_119,235.2554
TEST_120,248.30212
TEST_121,119.711655
TEST_122,487.34943
TEST_123,180.01537
TEST_124,148.5534
TEST_125,155.95468
TEST_126,137.19029
