ID,ASK1_IC50_nM
TEST_000,278.44217
TEST_001,223.88977
TEST_002,223.88731
TEST_003,1965.2203
TEST_004,37.4928
TEST_005,42.913708
TEST_006,49.624195
TEST_007,43.18051
TEST_008,608.0207
TEST_009,155.58696
TEST_010,189.82951
TEST_011,558.3215
TEST_012,411.27148
TEST_013,176.2076
TEST_014,68.06851
TEST_015,101.413635
TEST_016,82.27257
TEST_017,47.118614
TEST_018,95.760185
TEST_019,67.10944
TEST_020,474.94766
TEST_021,83.744995
TEST_022,81.138306
TEST_023,103.34645
TEST_024,82.174164
TEST_025,124.358795
TEST_026,119.259056
TEST_027,118.35208
TEST_028,82.17038
TEST_029,68.084885
TEST_030,122.26381
TEST_031,70.50275
TEST_032,121.141106
TEST_033,104.21461
TEST_034,60.153133
TEST_035,87.45187
TEST_036,123.44394
TEST_037,56.31217
TEST_038,117.78687
TEST_039,117.89608
TEST_040,24.498617
TEST_041,124.17555
TEST_042,119.27804
TEST_043,71.22321
TEST_044,154.83865
TEST_045,24.97965
TEST_046,41.193264
TEST_047,42.65506
TEST_048,40.565975
TEST_049,34.800076
TEST_050,35.44876
TEST_051,33.777454
TEST_052,22.76466
TEST_053,23.512266
TEST_054,34.940548
TEST_055,83.25945
TEST_056,78.618454
TEST_057,18.461939
TEST_058,35.30683
TEST_059,39.45987
TEST_060,28.294786
TEST_061,33.05361
TEST_062,23.03277
TEST_063,18.91909
TEST_064,18.231274
TEST_065,16.243319
TEST_066,20.673065
TEST_067,23.385698
TEST_068,119.191635
TEST_069,162.60109
TEST_070,24.484581
TEST_071,33.76529
TEST_072,25.548775
TEST_073,98.381134
TEST_074,20.948973
TEST_075,29.776302
TEST_076,21.38267
TEST_077,93.15831
TEST_078,96.28913
TEST_079,96.221596
TEST_080,121.04112
TEST_081,21.80908
TEST_082,20.664919
TEST_083,28.216793
TEST_084,19.845074
TEST_085,29.070107
TEST_086,35.68306
TEST_087,35.66023
TEST_088,30.777143
TEST_089,26.13982
TEST_090,26.270937
TEST_091,29.46649
TEST_092,29.16179
TEST_093,26.659782
TEST_094,20.508549
TEST_095,30.042362
TEST_096,29.150042
TEST_097,26.649569
TEST_098,20.50121
TEST_099,30.030228
TEST_100,25.797873
TEST_101,21.355476
TEST_102,21.34774
TEST_103,30.763699
TEST_104,35.92325
TEST_105,31.380665
TEST_106,216.89229
TEST_107,213.40591
TEST_108,24.024103
TEST_109,34.551994
TEST_110,35.596504
TEST_111,35.640068
TEST_112,35.788055
TEST_113,30.440739
TEST_114,15.889575
TEST_115,19.216097
TEST_116,30.835253
TEST_117,30.9638
TEST_118,27.352434
TEST_119,29.935385
TEST_120,36.51685
TEST_121,13.346698
TEST_122,27.121748
TEST_123,19.538282
TEST_124,55.331795
TEST_125,20.216702
TEST_126,24.088154
