ID,ASK1_IC50_nM
TEST_000,152.36581
TEST_001,354.44794
TEST_002,149.51129
TEST_003,2504.8062
TEST_004,56.896614
TEST_005,62.57083
TEST_006,58.066742
TEST_007,23.263926
TEST_008,3853.4587
TEST_009,8293.337
TEST_010,346.413
TEST_011,1020.5177
TEST_012,585.3666
TEST_013,370.6272
TEST_014,185.1303
TEST_015,119.3573
TEST_016,329.95087
TEST_017,390.65857
TEST_018,11.025504
TEST_019,30.932098
TEST_020,473.71756
TEST_021,53.09811
TEST_022,80.26879
TEST_023,144.42812
TEST_024,68.26716
TEST_025,651.6264
TEST_026,44.37946
TEST_027,493.66336
TEST_028,444.69156
TEST_029,344.9457
TEST_030,1847.8427
TEST_031,58.55099
TEST_032,83.76486
TEST_033,497.9924
TEST_034,269.64053
TEST_035,970.46735
TEST_036,1628.8002
TEST_037,278.67523
TEST_038,76.796364
TEST_039,164.16264
TEST_040,8.4594555
TEST_041,2183.975
TEST_042,309.43
TEST_043,488.0284
TEST_044,42.938263
TEST_045,364.63525
TEST_046,72.127426
TEST_047,57.20285
TEST_048,3678.728
TEST_049,26.499043
TEST_050,4.895482
TEST_051,115.66168
TEST_052,24.035316
TEST_053,148.37654
TEST_054,23.643154
TEST_055,7.38042
TEST_056,8.236177
TEST_057,2.1029606
TEST_058,6.6241155
TEST_059,14.535989
TEST_060,3.521086
TEST_061,196.49399
TEST_062,545.47205
TEST_063,8.656829
TEST_064,87.037865
TEST_065,9.917751
TEST_066,8.696898
TEST_067,106.69624
TEST_068,37.148438
TEST_069,125.55156
TEST_070,7.6670165
TEST_071,271.16147
TEST_072,14.356379
TEST_073,15.504826
TEST_074,12.574815
TEST_075,6.2615433
TEST_076,14.504471
TEST_077,934.274
TEST_078,129.45013
TEST_079,405.68515
TEST_080,45.514793
TEST_081,2.7225904
TEST_082,9.360173
TEST_083,14.886168
TEST_084,17.896223
TEST_085,312.99353
TEST_086,37.178593
TEST_087,37.12964
TEST_088,42.024887
TEST_089,7.842611
TEST_090,148.21974
TEST_091,9.903954
TEST_092,15.160654
TEST_093,374.92184
TEST_094,24.973972
TEST_095,552.607
TEST_096,11.937854
TEST_097,246.70912
TEST_098,14.136254
TEST_099,20.376863
TEST_100,7.6315575
TEST_101,14.609254
TEST_102,5.6168356
TEST_103,1092.3013
TEST_104,27.254587
TEST_105,20.856482
TEST_106,53.024178
TEST_107,36.35108
TEST_108,31.513872
TEST_109,17.64335
TEST_110,44.541965
TEST_111,56.848095
TEST_112,67.56398
TEST_113,507.7371
TEST_114,9.934317
TEST_115,21.162306
TEST_116,516.63904
TEST_117,955.0021
TEST_118,25.80691
TEST_119,420.9776
TEST_120,102.37408
TEST_121,19.893679
TEST_122,12.20649
TEST_123,3.7768881
TEST_124,131.5164
TEST_125,13.176776
TEST_126,4754.793
