ID,ASK1_IC50_nM
TEST_000,290.14685
TEST_001,242.07437
TEST_002,242.06427
TEST_003,1323.0428
TEST_004,52.939598
TEST_005,59.19389
TEST_006,60.39064
TEST_007,53.879597
TEST_008,586.96326
TEST_009,156.54294
TEST_010,172.19899
TEST_011,388.737
TEST_012,302.64642
TEST_013,141.24681
TEST_014,74.40572
TEST_015,105.30142
TEST_016,88.15669
TEST_017,51.60041
TEST_018,100.81469
TEST_019,77.16149
TEST_020,385.82047
TEST_021,86.42375
TEST_022,88.56493
TEST_023,108.53985
TEST_024,87.09121
TEST_025,126.05489
TEST_026,121.07901
TEST_027,121.7835
TEST_028,86.880806
TEST_029,74.50088
TEST_030,126.270706
TEST_031,77.18615
TEST_032,108.66207
TEST_033,108.90441
TEST_034,65.77212
TEST_035,91.79905
TEST_036,126.49051
TEST_037,60.138935
TEST_038,120.62706
TEST_039,120.403305
TEST_040,32.48654
TEST_041,125.68948
TEST_042,121.09363
TEST_043,76.788185
TEST_044,150.98775
TEST_045,34.929043
TEST_046,50.88242
TEST_047,51.509674
TEST_048,51.26503
TEST_049,44.737625
TEST_050,44.255817
TEST_051,42.8653
TEST_052,29.802174
TEST_053,30.233824
TEST_054,44.406948
TEST_055,88.16386
TEST_056,78.345894
TEST_057,23.689848
TEST_058,44.599907
TEST_059,48.21326
TEST_060,35.899982
TEST_061,40.33578
TEST_062,28.779394
TEST_063,25.420427
TEST_064,23.502588
TEST_065,21.307861
TEST_066,27.202269
TEST_067,27.429876
TEST_068,122.005264
TEST_069,151.65382
TEST_070,32.635693
TEST_071,43.123703
TEST_072,33.059563
TEST_073,105.65221
TEST_074,27.914103
TEST_075,39.25224
TEST_076,28.345064
TEST_077,97.512955
TEST_078,101.05884
TEST_079,100.789345
TEST_080,113.213036
TEST_081,29.889143
TEST_082,27.703579
TEST_083,36.280106
TEST_084,25.895353
TEST_085,37.82914
TEST_086,48.6179
TEST_087,48.646843
TEST_088,42.274143
TEST_089,34.10341
TEST_090,36.109818
TEST_091,41.56691
TEST_092,37.41475
TEST_093,34.32629
TEST_094,26.681744
TEST_095,39.01266
TEST_096,37.37279
TEST_097,34.288998
TEST_098,26.653957
TEST_099,38.96874
TEST_100,33.29876
TEST_101,28.553816
TEST_102,28.523829
TEST_103,42.29689
TEST_104,48.836933
TEST_105,42.650753
TEST_106,225.5
TEST_107,222.79852
TEST_108,32.053722
TEST_109,45.61515
TEST_110,47.62584
TEST_111,47.29157
TEST_112,47.21416
TEST_113,43.39305
TEST_114,22.38261
TEST_115,27.355438
TEST_116,41.168167
TEST_117,41.099293
TEST_118,36.38614
TEST_119,39.692123
TEST_120,51.466198
TEST_121,19.66034
TEST_122,40.574974
TEST_123,27.33271
TEST_124,66.98996
TEST_125,28.601917
TEST_126,34.239227
