ID,ASK1_IC50_nM
TEST_000,2002.9344
TEST_001,1274.6053
TEST_002,1274.5914
TEST_003,5982.952
TEST_004,44.30229
TEST_005,68.42865
TEST_006,53.28599
TEST_007,34.163185
TEST_008,7518.2085
TEST_009,390.14505
TEST_010,230.53111
TEST_011,1183.1765
TEST_012,787.27814
TEST_013,150.83945
TEST_014,182.40645
TEST_015,130.76666
TEST_016,93.50877
TEST_017,16.388567
TEST_018,94.68687
TEST_019,73.79334
TEST_020,1188.6896
TEST_021,82.80262
TEST_022,93.1355
TEST_023,174.037
TEST_024,47.767548
TEST_025,263.64444
TEST_026,217.43306
TEST_027,207.70306
TEST_028,47.6902
TEST_029,182.50902
TEST_030,279.1309
TEST_031,114.66606
TEST_032,127.7587
TEST_033,118.230125
TEST_034,113.25717
TEST_035,83.512505
TEST_036,183.68587
TEST_037,23.067366
TEST_038,114.477875
TEST_039,114.32953
TEST_040,7.812514
TEST_041,263.8338
TEST_042,217.7881
TEST_043,58.767006
TEST_044,410.3725
TEST_045,13.98323
TEST_046,37.831593
TEST_047,18.757368
TEST_048,21.395117
TEST_049,20.571266
TEST_050,19.293303
TEST_051,15.215167
TEST_052,13.847967
TEST_053,4.263099
TEST_054,20.563679
TEST_055,132.80917
TEST_056,58.93805
TEST_057,1.9939448
TEST_058,13.525849
TEST_059,11.748568
TEST_060,3.2767394
TEST_061,8.377948
TEST_062,2.346855
TEST_063,7.333473
TEST_064,5.380275
TEST_065,5.2371526
TEST_066,5.562619
TEST_067,4.283678
TEST_068,217.41539
TEST_069,611.1859
TEST_070,7.807866
TEST_071,15.217005
TEST_072,14.235861
TEST_073,143.0155
TEST_074,4.1624727
TEST_075,14.820526
TEST_076,4.233796
TEST_077,153.20222
TEST_078,205.82608
TEST_079,205.87558
TEST_080,146.21336
TEST_081,7.6231494
TEST_082,5.564354
TEST_083,10.837897
TEST_084,3.0455015
TEST_085,14.682532
TEST_086,37.173203
TEST_087,37.127396
TEST_088,35.80547
TEST_089,7.041015
TEST_090,12.591214
TEST_091,10.781
TEST_092,14.665181
TEST_093,9.426448
TEST_094,4.1183405
TEST_095,19.86079
TEST_096,14.657808
TEST_097,9.420943
TEST_098,4.115809
TEST_099,19.8349
TEST_100,6.973511
TEST_101,7.5427732
TEST_102,7.5376406
TEST_103,35.799534
TEST_104,24.62188
TEST_105,17.6921
TEST_106,1049.8684
TEST_107,788.1352
TEST_108,7.682336
TEST_109,27.352674
TEST_110,37.09142
TEST_111,37.130863
TEST_112,37.137386
TEST_113,47.154476
TEST_114,2.877137
TEST_115,6.403838
TEST_116,35.759266
TEST_117,35.771713
TEST_118,17.049545
TEST_119,26.37394
TEST_120,66.51226
TEST_121,4.159412
TEST_122,33.772038
TEST_123,6.5068913
TEST_124,95.94015
TEST_125,3.1744113
TEST_126,7.8452463
