ID,ASK1_IC50_nM
TEST_000,94.37435
TEST_001,53.39428
TEST_002,53.328777
TEST_003,197.02089
TEST_004,43.69866
TEST_005,68.46367
TEST_006,52.2629
TEST_007,34.49112
TEST_008,103.46612
TEST_009,116.7527
TEST_010,145.58334
TEST_011,131.31584
TEST_012,123.15599
TEST_013,57.412506
TEST_014,224.50911
TEST_015,28.93347
TEST_016,24.830784
TEST_017,51.796185
TEST_018,81.08309
TEST_019,73.86459
TEST_020,345.8099
TEST_021,26.57357
TEST_022,26.097837
TEST_023,43.625217
TEST_024,66.396034
TEST_025,67.67475
TEST_026,78.98192
TEST_027,102.993935
TEST_028,68.54114
TEST_029,202.76367
TEST_030,77.151665
TEST_031,79.61585
TEST_032,58.984467
TEST_033,48.655067
TEST_034,109.8967
TEST_035,19.06081
TEST_036,104.91332
TEST_037,60.162777
TEST_038,122.68632
TEST_039,123.49315
TEST_040,52.63942
TEST_041,78.45557
TEST_042,78.31614
TEST_043,29.893803
TEST_044,82.45062
TEST_045,75.05655
TEST_046,134.97795
TEST_047,61.711983
TEST_048,69.06783
TEST_049,48.024914
TEST_050,57.080574
TEST_051,65.31593
TEST_052,177.8668
TEST_053,59.24519
TEST_054,52.73163
TEST_055,28.39799
TEST_056,29.96745
TEST_057,27.37623
TEST_058,73.23994
TEST_059,55.18255
TEST_060,38.071106
TEST_061,54.363834
TEST_062,49.818817
TEST_063,9.650218
TEST_064,16.854654
TEST_065,8.431063
TEST_066,32.67768
TEST_067,26.638714
TEST_068,77.7961
TEST_069,57.662422
TEST_070,56.771065
TEST_071,62.328106
TEST_072,18.865595
TEST_073,40.28506
TEST_074,42.0578
TEST_075,42.739677
TEST_076,26.77292
TEST_077,47.207214
TEST_078,38.56938
TEST_079,44.805214
TEST_080,68.42436
TEST_081,38.029953
TEST_082,36.90407
TEST_083,47.780766
TEST_084,45.34784
TEST_085,33.651447
TEST_086,61.687527
TEST_087,61.62897
TEST_088,44.200794
TEST_089,37.96879
TEST_090,32.544987
TEST_091,40.08303
TEST_092,43.00455
TEST_093,19.236298
TEST_094,40.677475
TEST_095,28.70703
TEST_096,46.828247
TEST_097,23.277544
TEST_098,43.52102
TEST_099,33.325825
TEST_100,24.926443
TEST_101,27.303707
TEST_102,33.390873
TEST_103,44.030975
TEST_104,69.64719
TEST_105,37.593586
TEST_106,64.365105
TEST_107,68.038925
TEST_108,44.30312
TEST_109,47.691875
TEST_110,32.053406
TEST_111,32.196323
TEST_112,35.966896
TEST_113,35.03051
TEST_114,30.345234
TEST_115,38.642246
TEST_116,24.165691
TEST_117,31.127314
TEST_118,13.3068695
TEST_119,41.969322
TEST_120,45.87517
TEST_121,46.839046
TEST_122,46.56717
TEST_123,18.785892
TEST_124,51.87666
TEST_125,16.512688
TEST_126,41.813538
