ID,ASK1_IC50_nM
TEST_000,189.51796
TEST_001,89.79178
TEST_002,89.07575
TEST_003,158.92
TEST_004,75.5368
TEST_005,159.91751
TEST_006,130.86763
TEST_007,60.79653
TEST_008,114.67336
TEST_009,129.61084
TEST_010,153.3791
TEST_011,73.05466
TEST_012,74.94003
TEST_013,86.59282
TEST_014,191.20192
TEST_015,91.138626
TEST_016,100.85632
TEST_017,36.416275
TEST_018,155.414
TEST_019,256.0432
TEST_020,223.66151
TEST_021,68.55702
TEST_022,48.16829
TEST_023,126.063194
TEST_024,93.76446
TEST_025,124.237465
TEST_026,83.60186
TEST_027,53.881607
TEST_028,86.10287
TEST_029,331.43918
TEST_030,136.62808
TEST_031,107.11211
TEST_032,73.33908
TEST_033,130.13159
TEST_034,280.7615
TEST_035,159.67365
TEST_036,88.877144
TEST_037,31.75886
TEST_038,110.13332
TEST_039,102.36688
TEST_040,85.051834
TEST_041,95.38609
TEST_042,98.52999
TEST_043,58.8821
TEST_044,144.34251
TEST_045,85.36337
TEST_046,99.23786
TEST_047,51.898823
TEST_048,169.9738
TEST_049,138.50734
TEST_050,167.56712
TEST_051,153.87975
TEST_052,446.391
TEST_053,278.12473
TEST_054,170.28854
TEST_055,102.59271
TEST_056,69.15426
TEST_057,62.195145
TEST_058,176.61511
TEST_059,99.03976
TEST_060,126.821335
TEST_061,135.69968
TEST_062,236.6089
TEST_063,61.78595
TEST_064,10.54325
TEST_065,7.8776665
TEST_066,56.821636
TEST_067,49.675823
TEST_068,79.517654
TEST_069,66.43118
TEST_070,65.02721
TEST_071,156.11931
TEST_072,122.7576
TEST_073,34.274807
TEST_074,135.59424
TEST_075,70.04198
TEST_076,24.185307
TEST_077,81.459564
TEST_078,60.382286
TEST_079,93.2286
TEST_080,75.829544
TEST_081,30.570696
TEST_082,73.81676
TEST_083,166.78226
TEST_084,327.77072
TEST_085,182.00815
TEST_086,193.14775
TEST_087,202.02301
TEST_088,184.17317
TEST_089,170.55594
TEST_090,148.23405
TEST_091,172.64462
TEST_092,129.2059
TEST_093,176.33165
TEST_094,251.82936
TEST_095,161.32889
TEST_096,124.445526
TEST_097,177.34439
TEST_098,255.31754
TEST_099,134.46718
TEST_100,181.58858
TEST_101,73.70896
TEST_102,72.51198
TEST_103,208.91731
TEST_104,141.5856
TEST_105,140.49265
TEST_106,182.4305
TEST_107,158.23764
TEST_108,344.13803
TEST_109,198.42569
TEST_110,215.67099
TEST_111,203.58034
TEST_112,246.7931
TEST_113,222.47562
TEST_114,313.58276
TEST_115,325.05307
TEST_116,254.60649
TEST_117,265.16797
TEST_118,236.93073
TEST_119,223.97435
TEST_120,227.87943
TEST_121,302.43948
TEST_122,422.47415
TEST_123,156.57817
TEST_124,111.9607
TEST_125,198.00348
TEST_126,344.66705
