ID,ASK1_IC50_nM
TEST_000,108.35434
TEST_001,108.35719
TEST_002,108.356
TEST_003,108.42908
TEST_004,108.32008
TEST_005,108.32864
TEST_006,108.333405
TEST_007,108.326744
TEST_008,108.36814
TEST_009,108.32722
TEST_010,108.45718
TEST_011,108.38623
TEST_012,108.37862
TEST_013,108.40027
TEST_014,108.35244
TEST_015,108.34815
TEST_016,108.34149
TEST_017,108.329124
TEST_018,108.35529
TEST_019,108.338165
TEST_020,108.39289
TEST_021,108.34459
TEST_022,108.34577
TEST_023,108.35291
TEST_024,108.34815
TEST_025,108.455986
TEST_026,108.35767
TEST_027,108.45384
TEST_028,108.44408
TEST_029,108.341255
TEST_030,108.45194
TEST_031,108.35172
TEST_032,108.390274
TEST_033,108.35981
TEST_034,108.33364
TEST_035,108.36886
TEST_036,108.43551
TEST_037,108.35101
TEST_038,108.36743
TEST_039,108.362434
TEST_040,108.338165
TEST_041,108.45694
TEST_042,108.46932
TEST_043,108.33436
TEST_044,108.403366
TEST_045,108.301765
TEST_046,108.32817
TEST_047,108.33293
TEST_048,108.33055
TEST_049,108.34744
TEST_050,108.350296
TEST_051,108.32151
TEST_052,108.34506
TEST_053,108.31438
TEST_054,108.347916
TEST_055,108.35315
TEST_056,108.3541
TEST_057,108.313896
TEST_058,108.35244
TEST_059,108.352196
TEST_060,108.3453
TEST_061,108.32936
TEST_062,108.34625
TEST_063,108.336975
TEST_064,108.29416
TEST_065,108.31628
TEST_066,108.35506
TEST_067,108.331024
TEST_068,108.35838
TEST_069,108.36529
TEST_070,108.35744
TEST_071,108.325554
TEST_072,108.33245
TEST_073,108.35149
TEST_074,108.346725
TEST_075,108.33317
TEST_076,108.30581
TEST_077,108.471466
TEST_078,108.48076
TEST_079,108.48552
TEST_080,108.43646
TEST_081,108.343155
TEST_082,108.350296
TEST_083,108.32579
TEST_084,108.32889
TEST_085,108.31319
TEST_086,108.32936
TEST_087,108.33507
TEST_088,108.32841
TEST_089,108.35553
TEST_090,108.30082
TEST_091,108.349106
TEST_092,108.343155
TEST_093,108.3101
TEST_094,108.33388
TEST_095,108.31247
TEST_096,108.34173
TEST_097,108.306526
TEST_098,108.3384
TEST_099,108.33364
TEST_100,108.3453
TEST_101,108.33174
TEST_102,108.33507
TEST_103,108.30772
TEST_104,108.349106
TEST_105,108.34387
TEST_106,108.36957
TEST_107,108.36291
TEST_108,108.34768
TEST_109,108.336494
TEST_110,108.3277
TEST_111,108.322464
TEST_112,108.32198
TEST_113,108.30438
TEST_114,108.34887
TEST_115,108.28988
TEST_116,108.30819
TEST_117,108.30629
TEST_118,108.346725
TEST_119,108.308426
TEST_120,108.34958
TEST_121,108.27323
TEST_122,108.361244
TEST_123,108.36457
TEST_124,108.331024
TEST_125,108.3227
TEST_126,108.30557
