ID,ASK1_IC50_nM
TEST_000,26403.783
TEST_001,17522.135
TEST_002,17526.982
TEST_003,5167.905
TEST_004,53.659332
TEST_005,80.49729
TEST_006,55.118965
TEST_007,36.684746
TEST_008,129690.13
TEST_009,576.3166
TEST_010,216.05661
TEST_011,1209.2542
TEST_012,853.56433
TEST_013,143.7051
TEST_014,468.82935
TEST_015,149.02078
TEST_016,105.01047
TEST_017,16.708578
TEST_018,886.6856
TEST_019,858.73254
TEST_020,1282.7622
TEST_021,99.55413
TEST_022,105.00332
TEST_023,269.09546
TEST_024,47.70418
TEST_025,2776.384
TEST_026,2159.2307
TEST_027,223.64677
TEST_028,47.702454
TEST_029,468.5921
TEST_030,405.6121
TEST_031,20.17063
TEST_032,14.800217
TEST_033,141.12263
TEST_034,308.71976
TEST_035,99.32387
TEST_036,211.03369
TEST_037,23.70468
TEST_038,107.66356
TEST_039,107.58202
TEST_040,6.567729
TEST_041,2777.0608
TEST_042,2157.8633
TEST_043,70.03244
TEST_044,5575.894
TEST_045,13.558397
TEST_046,38.88736
TEST_047,17.68305
TEST_048,18.702213
TEST_049,23.95491
TEST_050,164.04533
TEST_051,13.194655
TEST_052,27.606869
TEST_053,3.1580791
TEST_054,23.957487
TEST_055,1827.1213
TEST_056,485.74466
TEST_057,1.4812768
TEST_058,12.489491
TEST_059,9.0244055
TEST_060,2.15617
TEST_061,6.349857
TEST_062,1.5193032
TEST_063,10.699199
TEST_064,5.8854823
TEST_065,7.528129
TEST_066,4.624835
TEST_067,3.1562629
TEST_068,2160.6917
TEST_069,880.51544
TEST_070,6.565278
TEST_071,13.191599
TEST_072,21.5852
TEST_073,1430.7393
TEST_074,4.0445275
TEST_075,16.872892
TEST_076,4.0380936
TEST_077,1519.1998
TEST_078,2762.7822
TEST_079,2762.849
TEST_080,1343.0135
TEST_081,8.374839
TEST_082,4.62707
TEST_083,9.310401
TEST_084,2.2280319
TEST_085,16.843628
TEST_086,49.6133
TEST_087,49.59522
TEST_088,63.29066
TEST_089,6.200655
TEST_090,12.816754
TEST_091,9.317866
TEST_092,16.886253
TEST_093,11.168813
TEST_094,4.043471
TEST_095,30.59027
TEST_096,16.884438
TEST_097,11.165245
TEST_098,4.0439234
TEST_099,30.631811
TEST_100,6.2013493
TEST_101,8.371879
TEST_102,8.375244
TEST_103,63.138798
TEST_104,25.926476
TEST_105,18.265316
TEST_106,16340.844
TEST_107,8999.49
TEST_108,6.5595856
TEST_109,27.396797
TEST_110,49.52606
TEST_111,49.52731
TEST_112,49.525406
TEST_113,71.976875
TEST_114,2.293045
TEST_115,6.3654094
TEST_116,63.105392
TEST_117,63.103107
TEST_118,23.199085
TEST_119,34.813526
TEST_120,102.49318
TEST_121,0.6052499
TEST_122,50.829597
TEST_123,6.3857093
TEST_124,114.144646
TEST_125,2.9129214
TEST_126,6.542036
