ID,ASK1_IC50_nM
TEST_000,1251.4542
TEST_001,833.715
TEST_002,833.83954
TEST_003,32970.426
TEST_004,29.219095
TEST_005,40.583214
TEST_006,64.09557
TEST_007,45.697865
TEST_008,3287.3987
TEST_009,531.8814
TEST_010,833.16693
TEST_011,4482.0664
TEST_012,2780.5908
TEST_013,793.3531
TEST_014,109.772606
TEST_015,229.19174
TEST_016,154.16249
TEST_017,45.87618
TEST_018,221.94374
TEST_019,93.82872
TEST_020,3523.9712
TEST_021,155.70282
TEST_022,160.45059
TEST_023,234.2273
TEST_024,164.1895
TEST_025,346.00818
TEST_026,355.1004
TEST_027,339.9873
TEST_028,164.76286
TEST_029,109.82963
TEST_030,349.45767
TEST_031,112.3666
TEST_032,382.47495
TEST_033,230.07773
TEST_034,75.691376
TEST_035,155.5142
TEST_036,342.8817
TEST_037,66.22269
TEST_038,342.11948
TEST_039,342.68826
TEST_040,14.437849
TEST_041,344.48737
TEST_042,353.08148
TEST_043,98.63498
TEST_044,544.65936
TEST_045,14.172947
TEST_046,43.651234
TEST_047,46.572845
TEST_048,40.015533
TEST_049,28.235975
TEST_050,28.06524
TEST_051,27.637075
TEST_052,10.399219
TEST_053,13.5293255
TEST_054,28.261005
TEST_055,160.61433
TEST_056,161.34837
TEST_057,7.506224
TEST_058,27.897007
TEST_059,40.985466
TEST_060,20.148716
TEST_061,28.292208
TEST_062,13.793188
TEST_063,7.5792174
TEST_064,7.442934
TEST_065,5.4350286
TEST_066,10.247574
TEST_067,15.587319
TEST_068,354.98657
TEST_069,595.6066
TEST_070,14.433807
TEST_071,27.635406
TEST_072,14.157441
TEST_073,243.23732
TEST_074,9.958102
TEST_075,20.093683
TEST_076,10.825279
TEST_077,231.20412
TEST_078,237.16498
TEST_079,237.18425
TEST_080,356.81848
TEST_081,10.613367
TEST_082,10.170646
TEST_083,19.199816
TEST_084,9.536943
TEST_085,19.600529
TEST_086,27.585598
TEST_087,27.661757
TEST_088,19.560091
TEST_089,14.011769
TEST_090,13.53946
TEST_091,19.385946
TEST_092,19.58689
TEST_093,14.078263
TEST_094,9.71607
TEST_095,19.994627
TEST_096,19.566963
TEST_097,14.063865
TEST_098,9.7057495
TEST_099,19.97273
TEST_100,13.810433
TEST_101,10.36205
TEST_102,10.351225
TEST_103,19.611162
TEST_104,27.272068
TEST_105,19.286335
TEST_106,818.72925
TEST_107,814.5903
TEST_108,13.2933035
TEST_109,27.110762
TEST_110,27.694668
TEST_111,27.588749
TEST_112,27.621998
TEST_113,18.856049
TEST_114,5.220137
TEST_115,7.069972
TEST_116,19.644716
TEST_117,19.678654
TEST_118,13.863729
TEST_119,19.269444
TEST_120,27.059582
TEST_121,3.078502
TEST_122,12.575464
TEST_123,7.328644
TEST_124,66.68827
TEST_125,6.891202
TEST_126,12.755658
